subject,session,path,status,plan_a,dur_min,n_units,evr_pc1,run_src,has_running,r_simple,lag_simple,p_simple,r_partial,p_partial,lag_partial,r_run_pc1,p_run_pc1,r_run_pupil,p_run_pupil
719817799,744228101.nwb,sub-719817799/sub-719817799_ses-744228101.nwb,ok,True,20.61750207352776,38,0.1908417274952723,processing:running/running_speed,True,0.7110017702335636,0.6000000000000001,0.0044977511244377,0.7163321126501102,0.0054972513743128,0.0,0.172521425632935,0.488255872063968,0.3166045958084244,0.0099950024987506
719828686,754312389.nwb,sub-719828686/sub-719828686_ses-754312389.nwb,ok,True,20.617502195597314,107,0.0912936336274809,processing:running/running_speed,True,0.1604444589372565,0.8,0.12143928035982,0.1508405033230851,0.1194402798600699,-2.1,0.1923237286383371,0.0049975012493753,0.322224067248562,0.0054972513743128
722882751,743475441.nwb,sub-722882751/sub-722882751_ses-743475441.nwb,ok,True,20.61750014083411,47,0.2693047852578856,processing:running/running_speed,True,0.3244209004123107,3.0,0.0754622688655672,0.3139093629546748,0.1054472763618191,2.6500000000000004,0.0659854907041222,0.5867066466766616,0.121989292509398,0.2518740629685157
723627600,742951821.nwb,sub-723627600/sub-723627600_ses-742951821.nwb,ok,True,20.61749807536718,35,0.2473626617745406,processing:running/running_speed,True,0.0539924179415751,3.0,0.7011494252873564,0.0423612578866977,0.7451274362818591,3.0,0.0422832704629288,0.4617691154422789,0.0670765612785898,0.0049975012493753
726141242,750332458.nwb,sub-726141242/sub-726141242_ses-750332458.nwb,ok,True,20.617498776093257,67,0.1175342153214935,processing:running/running_speed,True,0.2800519297920426,0.8500000000000001,0.0759620189905047,0.0909888027444335,0.1964017991004497,-1.6,0.3790609768688593,0.0369815092453773,0.6451090062485312,0.0049975012493753
726162193,750749662.nwb,sub-726162193/sub-726162193_ses-750749662.nwb,ok,True,20.617501103201104,60,0.15738103059903147,processing:running/running_speed,True,0.16175161054864196,-0.8,0.4702648675662169,0.09143241560861856,0.5122438780609695,0.0,0.1922396649061378,0.21389305347326337,0.5188350155165492,0.004997501249375313
726170927,746083955.nwb,sub-726170927/sub-726170927_ses-746083955.nwb,ok,False,20.617501112723776,14,0.18527915299341643,processing:running/running_speed,True,0.16207473898489796,-3.0,0.5462268865567217,0.3320939554359007,0.21239380309845077,-1.9000000000000001,0.3154402076660156,0.004997501249375313,0.42054051779740503,0.004497751124437781
726298249,754829445.nwb,sub-726298249/sub-726298249_ses-754829445.nwb,ok,True,20.61750150652393,95,0.08900648863085037,processing:running/running_speed,True,0.41769269364906314,0.9500000000000001,0.004497751124437781,0.27572397972505036,0.004997501249375313,1.35,0.42202178386744377,0.005497251374312844,0.3149863392564926,0.004497751124437781
730756767,757970808.nwb,sub-730756767/sub-730756767_ses-757970808.nwb,ok,True,20.61750558173987,88,0.10594542416446653,processing:running/running_speed,True,0.40266912026921853,1.9500000000000002,0.00399800099950025,0.5124786232621373,0.004497751124437781,1.6,0.02044392082748536,0.8940529735132434,0.3856172729599103,0.004997501249375313
730760263,755434585.nwb,sub-730760263/sub-730760263_ses-755434585.nwb,ok,True,20.61750859494412,82,0.1240013279612922,processing:running/running_speed,True,0.2648099760890679,0.6000000000000001,0.004497751124437781,0.1837840864286587,0.004997501249375313,0.2,0.14609269626974045,0.004997501249375313,0.38257556739324455,0.005497251374312844
732548371,751348571.nwb,sub-732548371/sub-732548371_ses-751348571.nwb,ok,True,20.617499736769865,50,0.12065595196786189,processing:running/running_speed,True,0.28177063810642866,0.65,0.4027986006996502,0.32997523286833225,0.3758120939530235,-2.45,0.1848398612776859,0.0069965017491254375,0.31995574448538733,0.004997501249375313
